,name,link
150,      147. Les Trois Palmiers,https://www.tripadvisor.com/Hotel_Review-g293734-d1931422-Reviews-Les_Trois_Palmiers-Marrakech_Marrakech_Safi.html
151,      148. Riad Zayane Atlas,https://www.tripadvisor.com/Hotel_Review-g293734-d1523345-Reviews-Riad_Zayane_Atlas-Marrakech_Marrakech_Safi.html
152,      149. Riad Dar Darma,https://www.tripadvisor.com/Hotel_Review-g293734-d650729-Reviews-Riad_Dar_Darma-Marrakech_Marrakech_Safi.html
153,      150. Hotel Imouzzer,https://www.tripadvisor.com/Hotel_Review-g293734-d1097795-Reviews-Hotel_Imouzzer-Marrakech_Marrakech_Safi.html
154,      151. Angsana Riads Collection Morocco,https://www.tripadvisor.com/Hotel_Review-g293734-d628885-Reviews-Angsana_Riads_Collection_Morocco-Marrakech_Marrakech_Safi.html
155,      152. Riad Azoulay,https://www.tripadvisor.com/Hotel_Review-g293734-d1452009-Reviews-Riad_Azoulay-Marrakech_Marrakech_Safi.html
156,      153. Riad Dar Tiflet,https://www.tripadvisor.com/Hotel_Review-g293734-d2092370-Reviews-Riad_Dar_Tiflet-Marrakech_Marrakech_Safi.html
157,      154. Villa des Orangers - Hotel,https://www.tripadvisor.com/Hotel_Review-g293734-d304183-Reviews-Villa_des_Orangers_Hotel-Marrakech_Marrakech_Safi.html
158,      155. JADALI HOTEL & SPA,https://www.tripadvisor.com/Hotel_Review-g293734-d23700362-Reviews-JADALI_HOTEL_SPA-Marrakech_Marrakech_Safi.html
159,      156. Riad Hikaya,https://www.tripadvisor.com/Hotel_Review-g293734-d4893996-Reviews-Riad_Hikaya-Marrakech_Marrakech_Safi.html
160,      157. Riad Kheirredine,https://www.tripadvisor.com/Hotel_Review-g293734-d1873436-Reviews-Riad_Kheirredine-Marrakech_Marrakech_Safi.html
161,      158. Riad Assakina,https://www.tripadvisor.com/Hotel_Review-g293734-d1139796-Reviews-Riad_Assakina-Marrakech_Marrakech_Safi.html
162,"      159. Riad Camilia, the Riad and More",https://www.tripadvisor.com/Hotel_Review-g293734-d1214202-Reviews-Riad_Camilia_the_Riad_and_More-Marrakech_Marrakech_Safi.html
